ID,Status,Requested,ER - Priority,Subject,Request Status,Organization,Updated,Submitted Priority,RequestOverview,ER,Sentiment,Status,Commited version,Strategic,Impact,Technical,Resource,Market,Total
1718991,Open,3/14/2025 18:45,,Quick view hover over,(4b) Accepted / On Roadmap,Allstate,6/25/2025 19:58,Normal,"Wale Junaid requested a feature to add a quick view for solution links when hovering over them. Wale clarified that the feature should ideally apply to all hyperlinks and RA solutions, but could start with RA solutions if there are limitations.","The request is to implement a quick view feature for hyperlinks and RA solutions, allowing users to preview content by hovering over links without opening them.",Neutral with moderate urgency,Accepted,,4,5,3,3,5,19
1309781,Open,6/16/2023 16:25,Low,Notification for Solution Owner Reassignment,(2) Product Management Review,Allstate,6/23/2025 5:28,Low,"Wale Junaid requested an enhancement for notifications during solution reassignment, specifically for both the original and new owner to be notified. If both cannot be notified, at least the new owner should receive a notification.","The request is for an enhancement to the notification system to ensure that both the original owner and the new owner are notified upon solution reassignment. If notifying both is not feasible, the new owner should at least receive a notification.","The sentiment appears to be neutral to positive, with Wale Junaid expressing a clear need for the enhancement and the support team responding promptly and professionally. The urgency is moderate, as it is a request for enhancement rather than an immediate issue.",Accepted,2026R2,4,4,4,2,3,18
698050,Closed,7/16/2021 22:02,High,"01. Requesting New ""Regulation"" Template Field/DropDown",(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],5/22/2025 9:42,Low,"Diana de Almeida requested the creation of a 'Regulation' field across all templates, allowing visibility and selection of regulations for SA and SM users, and enabling reporting based on these regulations. The request was acknowledged by Georgios Stergis and sent to the product team for review. Stephen Harley later updated Diana, indicating the request was added to a list of ideas for potential future development, with an option for expedited implementation through a paid service.","The request is to implement a 'Regulation' field in all templates, allowing SA users to see related regulations and regulatory icons, SM users to select multiple regulations from a dropdown, and reporting process owners to generate reports based on individual regulations. Additionally, USAA IT should receive new data elements related to this field via SFTP.",Neutral,Rejected,,,,,3,,2
698056,Closed,7/16/2021 22:22,High,02. Provide metadata fields (or tag/marker) for conditional workflows within all templates,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],5/22/2025 9:42,Low,"Diana de Almeida requested a feature to add a marker, tag, or field for conditional workflows in the Solution Manager that would not affect searchability in the Knowledge Center. The request was assigned to Georgios Stergis, who informed Diana that the request was sent to the product team for review. Stephen Harley later updated Diana that the request was added to the list of ideas for potential future development. An option for expedited development through a paid engagement was also offered. Stephen Harley further discussed the possibility of allowing users to directly select workflows and multi-select options.","The request is for a feature that allows the creation of a marker, tag, or field for conditional workflows in Solution Manager. This feature should be available across all templates and allow SM admins to create dynamic workflows based on multiple metadata fields. The goal is to streamline the compliance review process for new and existing articles without affecting their searchability.","Neutral to positive, with a moderate level of urgency due to the potential impact on workflow efficiency.",Rejected,,5,5,5,1,5,24
698058,Closed,7/16/2021 22:33,High,03. Increase Qty (20) of Template Fields,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],5/22/2025 9:42,Low,"Diana de Almeida submitted a request for enhancements involving new data elements, reporting capabilities, and user functionalities. The request was acknowledged and sent to the product team for consideration. Over time, updates were provided, indicating the enhancement was added to the list of ideas and later accepted for a future release. However, due to complexities, the delivery was rescheduled from 2024 to 2025.","The request involves adding new data elements to the system, enabling reporting process owners to create reports based on new fields, allowing all SM users to view new fields, and providing KM Team Members/USAA IT the ability to use new fields for integrations. Additionally, SM users should be able to tag solutions with descriptive information unrelated to search/findability.","Neutral to slightly positive, with an understanding of the delay and appreciation for updates.",Rejected,,,,,,,0
1052023,On-hold,6/22/2022 11:07,Medium,Enhancement: RightAnswers: Need Additional filters in Advanced Search Function in SM,(4a) Under Consideration (Not Planned),Allstate,11/25/2023 18:25,Normal,"Nicole Harris from Allstate requested an enhancement to the RightAnswers Advanced Search Function to include additional filters for identifying solutions nearing their refresh dates. This enhancement would help in revalidating content by legal and compliance teams before expiration. Felipe Fernandes informed Nicole that a related feature was released, allowing users to view solutions nearing expiry.","Enhancement request for RightAnswers Advanced Search Function to include filters for 'Next Week', 'Next Month', and 'Next 3 Months' to identify solutions nearing their refresh dates for revalidation purposes.",Positive,Accepted,2026R3,2,3,5,1,3,17
1640875,On-hold,10/31/2024 19:25,High,Solution History Filtering,(5) In Development (Planned),Allstate,6/12/2025 18:24,Normal,"Wale Junaid requested the addition of filtering options to the Solution History tab, specifically for the Status and Last Modified date columns, to aid in Legal Discovery and Market Conduct Exams. clarifying the need for filtering similar to the Solution Manager. Wale later added requests for sorting/filtering by Major/Minor status and displaying the 'Saved By' user details. The request was sent to the product team, and Felipe Fernandes later confirmed that the enhancement would be included in the 2026R1 release.","The enhancement request is to add filtering options to the Solution History tab, including filters for Status, Last Modified date, Major/Minor status, and 'Saved By' user details. This functionality is needed to streamline the process of pulling Major Published versions within a specified Date Range for Legal Discoveries and Market Conduct Exams.","Positive, with a sense of urgency due to the operational impact and the anticipation of the enhancement.",Accepted,,2,3,5,1,3,17
1751492,On-hold,5/12/2025 18:07,High,Add Collection value to search results,(5) In Development (Planned),Allstate,6/12/2025 18:21,Normal,"Khaled Yehia from Upland Software received an enhancement request from Allstate to improve the search results in RightAnswers by displaying the Collection name beneath each solution title. This enhancement aims to reduce confusion caused by overlapping Collections. Khaled communicated the request to the product team, who acknowledged its potential value and added it to their list of ideas. The enhancement was later approved for development and scheduled for release in 2025R2.","The request is to enhance the RightAnswers search results by displaying the Collection name directly beneath each solution title, styled distinctly for better visibility. This feature should be configurable at the Portal Group level.",Positive,Accepted,,4,4,3,3,4,17
1767102,Open,6/10/2025 13:39,,Trigger words requirement,(2) Product Management Review,Allstate,6/20/2025 13:27,Normal,"Karen Lee from Allstate contacted Upland to inquire about the possibility of turning off trigger words for searches to increase the number of searches that qualify for a GenAI result. The request was initially handled by Felipe, who mentioned it was an internal feature not available to customers. Khaled Yehia from support communicated with Karen, updating her on the internal review process. Tim Braman and Stephen Harley discussed internally and decided to convert the request into an enhancement request due to concerns about AI costs and user experience. The enhancement request was submitted to the product team for review.","The enhancement request involves three main components: 1) Provide users with a message indicating insufficient information in their search query and suggest rewording for better AI responses. 2) Use the LLM to provide examples of additional information needed when the AI cannot generate a response. 3) If no response is generated, inform the user and provide a mechanism to notify content administrators to create new articles.","Neutral to slightly positive, as the customer was kept informed about the progress and the request was escalated to the product team.",Accepted,2026R1,4,5,2,4,5,17
1309792,Open,6/16/2023 16:31,,Editable Comments in RightAnswers,(2) Product Management Review,Allstate,6/23/2025 6:24,Low,"Wale Junaid requested an enhancement to allow users to edit and delete their own comments on a solution. Ahmed Badawi acknowledged the request and forwarded it to the product team. Felipe Fernandes responded, explaining security restrictions on editing comments and asked for clarification on whether the request was for portal users. Wale confirmed it was for portal users.","The request is to enable portal users to edit and delete their own comments on solutions. Editing should be restricted to comments without replies, while deletion should be allowed for all comments made by the user.",Neutral,Accepted,,3,4,3,3,4,16
